brand,model,instance,position_num,motive_num,position_name,motive_name,filename,shot
Agfa,DC-504,0,1,1,Ostra-Allee ,Zwinger crown gate,Agfa_DC-504_0_1.JPG,1
Agfa,DC-504,0,3,1,Home I,Plant and sylvester,Agfa_DC-504_0_4.JPG,4
Agfa,DC-504,0,3,1,Home I,Plant and sylvester,Agfa_DC-504_0_5.JPG,5
Agfa,DC-504,0,3,2,Home I,Christmastree,Agfa_DC-504_0_6.JPG,6
Agfa,DC-504,0,3,2,Home I,Christmastree,Agfa_DC-504_0_7.JPG,7
Agfa,DC-504,0,4,2,Theaterplatz,Semper Oper,Agfa_DC-504_0_9.JPG,9
Agfa,DC-504,0,4,1,Theaterplatz,Katholische Hofkirche,Agfa_DC-504_0_10.JPG,10
Agfa,DC-504,0,5,2,Skulpturensammlung,Skulpturensammlung II,Agfa_DC-504_0_11.JPG,11
Agfa,DC-504,0,5,1,Skulpturensammlung,Skulpturensammlung I,Agfa_DC-504_0_12.JPG,12
Agfa,DC-504,0,6,1,Koenigsufer,Bruehlsche Terrasse I,Agfa_DC-504_0_13.JPG,13
Agfa,DC-504,0,6,1,Koenigsufer,Bruehlsche Terrasse I,Agfa_DC-504_0_14.JPG,14
Agfa,DC-504,0,6,2,Koenigsufer,Bruehlsche Terrasse II,Agfa_DC-504_0_15.JPG,15
Agfa,DC-504,0,7,1,Orangerie Pillnitz,Palm trees I,Agfa_DC-504_0_16.JPG,16
Agfa,DC-504,0,7,1,Orangerie Pillnitz,Palm trees I,Agfa_DC-504_0_17.JPG,17
Agfa,DC-504,0,7,1,Orangerie Pillnitz,Palm trees I,Agfa_DC-504_0_18.JPG,18
Agfa,DC-504,0,7,1,Orangerie Pillnitz,Palm trees I,Agfa_DC-504_0_19.JPG,19
Agfa,DC-504,0,7,2,Orangerie Pillnitz,Palm trees II,Agfa_DC-504_0_20.JPG,20
Agfa,DC-504,0,7,2,Orangerie Pillnitz,Palm trees II,Agfa_DC-504_0_21.JPG,21
Agfa,DC-504,0,8,2,Neumarkt,Frauenkirche,Agfa_DC-504_0_22.JPG,22
Agfa,DC-504,0,8,1,Neumarkt,"Johaneum, transportation museum",Agfa_DC-504_0_24.JPG,24
Agfa,DC-504,0,9,1,Passageway Skulpturensammlung,Passageway view I,Agfa_DC-504_0_25.JPG,25
Agfa,DC-504,0,9,2,Passageway Skulpturensammlung,Passageway view II,Agfa_DC-504_0_26.JPG,26
Agfa,DC-504,0,9,2,Passageway Skulpturensammlung,Passageway view II,Agfa_DC-504_0_27.JPG,27
